,sample_8,sample_4,sample_11,sample_9,sample_3,sample_2,sample_1,sample_6,sample_5,sample_12,sample_02,sample_10,sample_7
DDX948,1618,1626,751,940,1626,2896,1078,2663,1051,787,1606,1333,1031
EIF981,1526,2123,2780,2584,2213,2463,4222,872,954,2869,1955,1970,3400
PSMB919,46,96,77,68,81,66,122,67,46,112,54,57,78
PSMD91,361,412,255,550,324,433,434,349,224,314,403,233,752
HLA565,832,829,1329,1073,1462,999,1955,1181,1092,1042,1564,803,2185
IFIT503,1286,2055,2121,1389,829,2278,1799,2408,1507,2615,860,1335,1580
OAS521,122,48,106,21,203,66,59,56,57,51,51,86,64
IRF658,737,827,409,593,681,520,861,741,537,841,736,538,689
STAT499,648,960,464,592,486,525,899,503,212,467,747,737,462
SMAD448,463,193,361,198,142,155,254,301,123,204,292,210,167
FOX190,582,672,836,447,624,638,632,598,560,582,709,665,828
SOX363,2082,3416,3811,2204,2515,3712,2560,2026,2209,1644,2499,2392,4662
KLF525,1359,827,1028,1586,1331,1316,1302,2899,371,868,1007,645,1566
GATA812,5348,1792,2736,1590,1855,1679,1935,4542,3655,2335,2087,1032,2070
NFAT890,418,609,931,771,685,407,539,794,675,376,1289,783,1237
BCL12,43,50,33,29,39,35,47,38,42,43,50,36,21
CASP894,407,295,326,196,345,386,438,255,561,552,351,394,270
ZNF66,35,22,89,33,40,34,52,45,59,42,57,62,44
TMEM813,25,26,33,29,26,35,28,32,24,20,16,19,20
ABCB237,21,24,36,39,29,55,22,22,24,36,14,54,48
SLC51,217,411,563,326,411,476,555,839,356,738,419,232,519
CYP454,47,28,32,56,110,43,33,48,40,49,85,47,51
MAP41,334,543,332,225,324,333,373,776,177,307,417,185,293
RPL548,28,43,51,33,62,56,43,52,38,50,45,37,32
RPS114,55,50,202,72,127,56,150,40,75,47,120,175,54
GPR293,233,221,223,267,284,206,297,311,253,254,179,357,245
TNFR903,192,181,78,75,139,110,130,89,133,63,97,181,93
CDK573,18,31,20,26,28,23,33,20,28,21,21,22,28
MMP994,749,672,625,985,548,743,546,383,705,466,528,614,408
COL761,1538,1337,1174,1035,2397,794,1425,1820,1811,1371,1813,1452,2576
ACTB907,2752,2865,2330,2972,1052,2832,2507,1039,2922,2215,3648,1331,2700
MYO732,278,270,571,276,502,457,362,582,423,490,333,371,619
HSP320,439,635,466,364,792,307,515,382,430,654,481,339,298
CAT289,462,540,418,396,734,544,1233,595,333,315,371,516,256
SOD216,313,188,193,102,351,501,269,267,275,391,307,246,176
NOS525,77,133,53,78,145,111,92,60,126,82,101,120,67
PTP816,3058,2822,3421,2429,2411,3457,3333,5400,1291,1814,2780,1632,1911
PDE917,2518,3819,1507,2720,2221,3304,1992,3609,1769,1808,2851,3768,2774
ADRB129,96,75,92,76,105,75,98,101,104,68,77,107,100
HTR125,1207,1664,2588,2714,6109,4957,2639,3137,2698,3127,3464,6031,1927
DRD653,325,278,102,202,415,334,319,403,333,267,334,228,327
GRIN976,717,409,423,302,368,429,452,694,453,261,631,356,263
TRUE_TOP,3034,743,2977,2345,685,507,653,567,595,2382,3793,2751,3107
SCN668,467,816,579,821,454,519,760,334,654,854,437,284,605
KCNH347,615,597,502,433,410,683,561,547,381,527,692,1016,353
ATP70,68,86,55,47,74,65,44,71,71,50,93,70,73
NDUF619,132,264,330,160,639,241,330,375,252,230,342,568,358
COX515,16,16,37,13,28,57,24,36,31,12,30,26,20
UQCR832,26,58,57,90,31,42,35,90,34,65,80,77,79
TUBB296,420,806,741,999,680,811,822,623,905,1046,467,665,523
RAB640,896,436,505,500,712,608,548,363,326,889,487,539,313
ARF409,21,40,20,14,21,31,18,47,12,17,24,35,12
SEC94,148,249,65,206,265,283,131,134,182,231,180,181,151
VPS247,2584,2637,3869,3486,2283,2838,1948,2911,3886,2544,3208,2296,2125
USP564,200,201,239,158,155,222,160,234,85,243,267,164,168
RNF637,1543,947,2171,843,1267,1777,649,1224,973,1140,1769,1352,617
DDX563,1388,1597,1524,1133,4149,1335,2861,1434,1790,2084,1162,1359,2624
EIF626,352,298,188,224,319,412,145,355,182,306,291,229,320
PSMB19,524,535,620,403,537,582,829,1168,394,557,746,634,270
PSMD766,2778,2589,2242,749,1514,1430,3135,1492,1849,581,1298,2586,1616
HLA199,54,55,174,54,122,92,109,35,113,53,71,47,42
IFIT229,84,89,137,57,130,73,158,115,71,148,99,105,83
OAS490,16,21,27,16,12,29,24,24,20,21,20,32,26
IRF544,2296,2329,3865,1882,2512,1793,4063,1993,2439,2144,2464,3219,2398
STAT994,203,165,162,138,138,284,179,226,255,216,398,259,235
SMAD315,536,362,173,271,245,384,508,529,276,264,501,1086,189
FOX194,394,579,428,301,345,258,361,869,416,411,323,413,205
SOX759,219,259,277,114,247,188,268,146,247,135,259,174,120
KLF991,1357,2134,1991,1852,2541,2839,2746,2293,1760,2542,1920,1251,3926
GATA54,85,152,112,56,59,88,85,106,59,42,75,77,137
NFAT613,79,93,120,90,77,169,111,96,85,86,100,86,97
BCL361,151,230,148,253,375,98,371,156,243,162,252,239,223
CASP900,483,221,312,225,285,272,248,265,377,169,157,422,492
ZNF476,2087,2214,2133,1580,1208,2918,3180,1433,1815,2431,2166,2498,1908
TMEM689,1113,1117,1321,1658,1227,978,782,1430,1123,1378,1469,850,998
ABCB36,569,998,883,590,1083,957,1713,706,798,939,902,358,994
SLC741,23,32,16,35,87,82,31,41,37,24,35,23,69
CYP542,418,186,212,209,257,203,229,222,286,464,351,244,301
MAP254,204,241,206,166,213,187,455,449,226,186,304,227,192
RPL351,43,40,32,48,51,51,36,58,43,49,49,56,33
RPS718,94,53,86,109,84,54,186,84,96,164,68,46,89
GPR722,51,46,85,83,104,42,97,122,111,44,60,141,96
TNFR622,344,113,205,194,205,258,182,181,327,265,163,362,185
CDK648,1153,2796,1773,4237,1658,1806,2237,1271,2863,1825,2535,1951,1347
MMP499,1172,974,1709,1678,2085,771,1420,2093,852,1185,1484,1655,1228
COL172,53,42,76,56,67,57,41,74,47,24,81,42,58
ACTB389,96,76,71,54,136,191,49,60,63,67,77,75,69
MYO567,40,45,54,24,70,26,29,31,45,38,27,52,41
HSP539,646,2515,2771,2096,1843,1922,1832,3201,2514,1326,2323,2443,2424
CAT343,326,199,336,273,773,574,194,237,292,462,332,629,303
SOD276,1015,1058,936,941,634,868,1169,424,703,973,926,895,1150
NOS443,1390,1449,1997,867,899,1298,1542,953,1176,1865,1252,569,1808
PTP512,1217,1045,1922,1178,968,2242,2059,934,1212,2109,1096,959,1888
PDE106,435,291,468,221,555,343,653,525,659,423,401,567,477
ADRB568,62,178,94,72,37,54,54,89,141,91,91,125,103
HTR326,31,19,24,19,58,52,51,17,15,18,23,33,32
DRD826,1371,4114,2727,1945,3417,4214,5663,2534,5431,1878,1662,2178,2595
GRIN239,795,557,1249,1130,906,607,437,456,966,496,457,508,656
CACNA242,1372,2233,1526,1070,1755,3814,2633,2717,1764,1434,1483,1649,1843
SCN271,88,264,463,171,205,271,154,249,151,133,157,266,236
KCNH734,1761,1314,1476,1243,3604,3127,2804,2616,1364,1112,2297,1475,1430
ATP635,184,148,267,132,254,304,260,382,285,77,490,829,170
COX606,139,64,34,103,220,143,165,138,80,117,165,79,246
UQCR19,4368,1465,3114,1227,3753,2728,3650,1678,1917,2904,3696,2422,2970
TUBB367,3586,2094,2722,2736,1894,2158,2477,5088,3830,3407,3759,2302,3753
RAB922,1975,1446,1170,1494,1618,1579,1800,1829,1080,2020,2133,1627,1618
ARF261,587,1366,1455,1172,661,2219,1105,681,1784,646,962,1125,1153
SEC246,94,40,63,42,32,54,51,59,90,62,25,39,51
VPS749,80,64,93,62,144,92,86,86,56,67,94,185,82
USP501,2740,953,1939,1708,2036,825,998,2265,1571,1646,1075,938,3214
RNF79,309,229,235,148,253,231,211,278,211,127,329,289,187
DDX140,42,32,24,100,54,51,93,52,32,37,45,33,21
EIF625,39,99,53,50,73,88,62,49,48,70,69,117,55
PSMB419,13,57,18,24,42,45,37,39,40,43,32,45,38
PSMD190,31,26,7,22,26,26,56,18,34,20,16,30,57
HLA227,13,45,46,26,38,16,25,21,12,22,19,22,38
IFIT647,31,56,44,70,32,51,35,62,33,37,35,57,67
OAS116,227,223,223,185,159,209,144,203,215,182,327,441,196
IRF837,74,102,54,65,91,85,68,127,60,101,93,70,101
STAT927,69,64,69,18,96,96,42,80,117,62,77,61,154
SMAD601,33,73,52,33,56,67,42,36,39,34,42,36,51
DECOY_B,1001,490,1022,851,296,292,211,305,303,1479,1737,1464,1363
SOX875,1193,2793,1045,1163,2196,1689,2971,4075,1373,682,5423,1943,1975
KLF515,13,32,28,39,41,28,12,42,37,11,21,32,35
GATA695,191,286,1001,215,253,485,314,281,163,379,553,188,313
NFAT267,81,68,24,28,44,71,38,39,24,25,46,66,39
BCL587,35,44,82,43,106,59,61,71,48,35,74,31,50
CASP769,123,80,32,31,92,168,42,32,22,55,39,65,42
ZNF132,37,70,31,23,23,22,32,29,28,29,24,46,29
TMEM545,132,283,169,92,375,133,230,204,246,114,257,264,229
ABCB756,600,799,693,612,441,682,433,336,444,311,416,297,708
SLC665,472,663,499,665,488,597,738,625,586,254,490,692,519
CYP794,122,282,308,132,292,201,244,304,203,143,248,258,199
MAP86,1357,1147,971,2047,1746,945,1838,1091,1312,1535,1449,1132,2068
RPL380,1323,1034,1378,1242,1566,1492,1045,1467,1517,1565,1446,1921,1979
RPS805,75,173,181,82,89,301,174,92,88,112,114,120,167
GPR79,2093,2891,2638,4320,1105,2472,1496,1902,1504,1470,2169,1738,2960
TNFR833,1668,3066,2119,1066,2112,3448,2326,2662,3324,2286,1808,1958,6063
CDK306,1691,1419,1967,2238,1312,1120,2237,1633,2958,1450,805,537,2156
MMP746,1498,1179,928,1815,1081,963,1055,867,1462,1101,1390,753,865
COL490,65,118,77,52,72,96,132,108,121,101,105,102,56
ACTB215,1617,727,1965,1233,1996,1223,1727,1266,1241,1336,1711,688,890
MYO867,79,82,39,69,66,103,77,76,87,41,66,105,36
HSP173,44,27,41,23,55,25,29,21,22,33,31,63,35
CAT460,601,810,739,413,821,508,717,548,541,578,332,407,779
SOD832,431,1152,631,393,550,993,921,1091,464,870,1788,520,549
NOS490,36,45,54,39,34,26,35,39,82,63,31,107,38
PTP928,1414,2035,1869,1332,2410,3379,1987,2269,1550,1253,1304,1828,1442
PDE713,21,24,43,36,37,15,21,26,31,17,21,23,20
ADRB79,94,103,62,48,70,79,85,74,59,53,99,81,83
HTR593,456,526,274,237,572,581,516,474,334,373,750,438,419
DRD771,706,975,1143,654,1018,951,961,586,1665,1939,1719,1555,1161
GRIN347,845,749,1543,1126,721,1798,1979,954,974,1043,1217,1137,1583
CACNA445,755,2077,2001,595,2719,1285,1898,1457,859,1551,1290,1273,1036
SCN643,50,59,47,38,45,48,72,74,66,43,60,107,66
KCNH224,3087,2828,2554,1682,2344,2690,3132,4546,2192,4346,2233,4661,2661
ATP803,111,175,214,173,123,302,190,107,46,147,148,125,108
NDUF428,383,334,222,234,192,372,250,357,432,273,631,429,439
COX923,334,233,457,400,740,350,248,483,362,291,429,243,159
UQCR109,1339,3808,3162,2137,2133,3611,3756,3634,3713,3202,2441,2693,1736
TUBB287,312,155,361,393,198,408,620,223,251,322,318,277,685
RAB641,190,525,373,169,343,277,230,247,121,108,322,311,581
ARF355,13,16,29,17,34,29,37,32,28,13,15,12,12
SEC702,66,119,138,48,147,105,69,47,55,117,46,100,197
VPS672,306,827,393,523,561,750,883,782,956,485,966,934,595
USP863,1010,900,1101,605,1177,1369,1057,638,587,563,1011,1061,609
RNF547,2199,790,1924,959,1511,3865,2424,1063,2289,1215,1184,797,2042
DDX584,24,69,68,19,19,24,31,21,34,9,23,11,38
EIF531,24,22,34,17,19,27,40,56,27,14,20,26,16
PSMB362,223,231,222,126,261,307,301,153,163,142,195,145,278
PSMD866,430,706,294,741,1050,715,964,667,846,415,823,363,1019
HLA986,79,164,70,56,61,116,109,104,110,105,119,113,147
IFIT83,2848,2111,1346,1049,3525,2849,2156,1638,1352,1910,7537,4612,1209
OAS151,258,239,163,166,186,131,198,273,80,135,191,141,277
IRF586,520,425,493,599,568,575,975,634,486,602,663,546,389
STAT545,71,46,66,52,74,90,64,79,28,37,79,68,47
SMAD803,67,96,29,32,80,120,102,85,29,85,54,66,68
FOX13,1524,1658,2070,1581,2418,1369,2028,1414,2204,1878,2586,2012,1166
SOX308,580,1193,1261,657,1171,935,1061,338,971,853,595,1939,1322
KLF723,50,69,62,43,57,93,60,71,80,66,66,101,109
GATA661,85,279,135,122,288,137,143,272,174,106,207,316,123
NFAT988,67,77,79,55,90,46,77,71,38,47,69,55,48
BCL998,57,16,51,99,63,76,60,42,13,47,74,41,57
CASP287,39,44,62,32,62,109,87,53,104,48,99,77,157
ZNF952,444,599,501,483,523,714,1060,769,753,483,515,892,583
TMEM497,29,18,30,6,64,19,42,41,24,20,36,30,19
ABCB895,333,262,289,243,229,185,230,257,319,78,243,149,159
SLC36,56,50,33,48,53,28,56,43,47,46,75,89,65
CYP755,785,885,655,408,1064,916,798,503,396,780,527,863,701
MAP355,171,257,264,155,410,263,200,249,263,170,141,370,283
RPL118,1574,1217,1380,2608,1224,3102,1838,1045,1638,1529,1729,1861,2320
RPS113,147,244,247,236,337,497,509,332,216,231,176,193,422
GPR617,74,30,144,39,66,75,54,51,57,48,50,134,90
TNFR182,1459,912,541,1147,1444,706,969,804,686,989,959,903,804
CDK869,128,161,268,77,133,113,160,139,130,139,188,160,45
MMP717,585,947,1102,683,649,542,665,613,907,726,1072,915,1026
COL279,35,124,10,30,31,74,23,59,32,48,27,55,61
ACTB70,2870,1948,1629,1045,2356,3048,1459,2976,1739,1304,1575,1504,1444
MYO262,121,159,93,53,78,167,116,212,91,95,99,152,156
HSP128,253,612,423,255,290,397,168,381,269,417,406,482,662
CAT132,389,255,223,220,262,279,297,233,261,235,221,298,254
SOD619,22,56,48,61,52,86,69,76,53,70,85,54,45
NOS751,30,44,94,88,33,86,101,58,63,32,44,60,132
PTP837,238,117,82,138,190,77,176,135,177,120,117,179,159
PDE911,1090,1117,706,2283,696,723,1530,1596,1016,1025,1156,1248,665
