gene_id,modules
GENE_145,MAPK_SIGNALING
GENE_146,DISEASE_SIGNALING_A
GENE_147,DISEASE_SIGNALING_B
GENE_148,DISEASE_STATE_C
GENE_149,OXIDATIVE_STRESS
GENE_150,DISEASE_STATE_C|INTERFERON_RESPONSE
GENE_151,DISEASE_ADAPTATION_D
GENE_152,DISEASE_ADAPTATION_D
GENE_153,TRANSLATION
GENE_155,DISEASE_SIGNALING_A
GENE_156,ACTIN_REMODELING
GENE_157,MAPK_SIGNALING
GENE_158,DISEASE_SIGNALING_A
GENE_159,METABOLIC_ADAPTATION
GENE_160,DISEASE_ADAPTATION_D
GENE_161,OXIDATIVE_STRESS
GENE_162,DISEASE_ADAPTATION_D
GENE_163,MAPK_SIGNALING
GENE_164,DISEASE_ADAPTATION_D
GENE_165,CELL_CYCLE
GENE_166,DISEASE_ADAPTATION_D
GENE_168,CELL_CYCLE
GENE_169,TRANSLATION
GENE_170,OXIDATIVE_STRESS
GENE_171,DISEASE_ADAPTATION_D
GENE_172,CELL_CYCLE
GENE_173,DNA_DAMAGE
GENE_174,CELL_CYCLE
GENE_175,CELL_CYCLE
GENE_176,DNA_DAMAGE|TRANSLATION
GENE_177,METABOLIC_ADAPTATION
GENE_178,DNA_DAMAGE
GENE_180,DISEASE_SIGNALING_A|DISEASE_STATE_C
GENE_181,CELL_CYCLE
GENE_182,OXIDATIVE_STRESS
GENE_183,DISEASE_SIGNALING_B
GENE_184,INTERFERON_RESPONSE|OXIDATIVE_STRESS
GENE_185,DISEASE_STATE_C
GENE_186,ACTIN_REMODELING
GENE_187,DISEASE_SIGNALING_A
GENE_188,DISEASE_SIGNALING_B
GENE_189,METABOLIC_ADAPTATION
GENE_190,DISEASE_ADAPTATION_D
GENE_191,DNA_DAMAGE
GENE_192,ACTIN_REMODELING
GENE_193,DISEASE_SIGNALING_A
GENE_194,CELL_CYCLE
GENE_195,INTERFERON_RESPONSE
GENE_196,DNA_DAMAGE
GENE_197,TRANSLATION
GENE_199,DISEASE_STATE_C
GENE_200,TRANSLATION
GENE_202,METABOLIC_ADAPTATION
GENE_203,MAPK_SIGNALING
GENE_204,ACTIN_REMODELING|DISEASE_STATE_C
GENE_205,OXIDATIVE_STRESS
GENE_206,DISEASE_SIGNALING_B
GENE_207,OXIDATIVE_STRESS
GENE_208,DISEASE_STATE_C
GENE_210,MAPK_SIGNALING
GENE_212,DISEASE_STATE_C
GENE_213,DISEASE_SIGNALING_B
GENE_214,DISEASE_SIGNALING_B
GENE_215,DISEASE_SIGNALING_B
GENE_216,METABOLIC_ADAPTATION
GENE_217,DISEASE_SIGNALING_B
GENE_218,METABOLIC_ADAPTATION
GENE_219,DISEASE_SIGNALING_B
GENE_220,DISEASE_ADAPTATION_D
GENE_221,OXIDATIVE_STRESS
GENE_222,MAPK_SIGNALING
GENE_223,INTERFERON_RESPONSE
GENE_224,OXIDATIVE_STRESS
GENE_225,ACTIN_REMODELING
GENE_226,INTERFERON_RESPONSE
GENE_227,DISEASE_SIGNALING_A
GENE_228,ACTIN_REMODELING
GENE_229,OXIDATIVE_STRESS
GENE_230,DISEASE_SIGNALING_B
GENE_231,TRANSLATION
GENE_232,CELL_CYCLE
GENE_233,CELL_CYCLE
GENE_234,DNA_DAMAGE
GENE_236,ACTIN_REMODELING
GENE_237,TRANSLATION
GENE_238,MAPK_SIGNALING
GENE_239,TRANSLATION
GENE_240,ACTIN_REMODELING
GENE_241,TRANSLATION
GENE_242,TRANSLATION
GENE_243,DISEASE_STATE_C|MAPK_SIGNALING
GENE_244,ACTIN_REMODELING
GENE_245,CELL_CYCLE
GENE_246,METABOLIC_ADAPTATION
GENE_247,DISEASE_SIGNALING_A
GENE_248,DISEASE_ADAPTATION_D
GENE_249,METABOLIC_ADAPTATION
GENE_251,DISEASE_ADAPTATION_D
GENE_252,ACTIN_REMODELING
GENE_253,DISEASE_SIGNALING_B
GENE_254,DISEASE_SIGNALING_A
GENE_255,ACTIN_REMODELING
GENE_256,CELL_CYCLE
GENE_257,TRANSLATION
GENE_258,DNA_DAMAGE
GENE_259,CELL_CYCLE
GENE_260,DISEASE_SIGNALING_A
GENE_262,DISEASE_SIGNALING_B
GENE_263,DISEASE_STATE_C
GENE_264,DISEASE_ADAPTATION_D
GENE_265,CELL_CYCLE
GENE_266,CELL_CYCLE
GENE_267,OXIDATIVE_STRESS
GENE_269,OXIDATIVE_STRESS
GENE_270,METABOLIC_ADAPTATION
GENE_271,DISEASE_ADAPTATION_D
GENE_272,DISEASE_ADAPTATION_D
GENE_273,OXIDATIVE_STRESS
GENE_274,TRANSLATION
GENE_275,ACTIN_REMODELING
GENE_276,TRANSLATION
GENE_277,CELL_CYCLE
GENE_278,ACTIN_REMODELING
GENE_280,DISEASE_ADAPTATION_D
GENE_282,CELL_CYCLE
GENE_285,OXIDATIVE_STRESS
GENE_286,DISEASE_ADAPTATION_D
GENE_287,OXIDATIVE_STRESS
GENE_288,ACTIN_REMODELING
GENE_289,INTERFERON_RESPONSE
GENE_290,DISEASE_STATE_C
GENE_291,MAPK_SIGNALING
GENE_292,OXIDATIVE_STRESS
GENE_293,DNA_DAMAGE
GENE_294,DNA_DAMAGE
GENE_296,TRANSLATION
GENE_297,DISEASE_STATE_C
GENE_299,CELL_CYCLE
GENE_300,DISEASE_STATE_C
