,sample_3,sample_24,sample_8,sample_22,sample_6,sample_15,sample_9,sample_14,sample_23,sample_4,sample_13,sample_20,sample_18,sample_16,sample_19,sample_2,sample_1,sample_21,sample_17,sample_5,sample_11,sample_10,sample_12,sample_7
HLA97,520,354,472,440,837,616,554,271,602,440,664,516,731,1012,978,412,1247,750,419,474,591,448,581,483
IFIT20,46,32,37,80,50,15,35,17,11,9,103,17,10,214,70,36,23,50,26,40,53,34,57,27
OAS957,115,90,98,182,179,159,191,17,83,228,262,70,194,746,10,133,76,159,191,115,162,145,153,262
IRF844,2305,1462,1950,1812,1980,369,1987,1422,1568,2684,1141,690,2801,1434,1815,3187,2500,658,857,1786,1723,2404,2486,1433
STAT772,371,967,350,153,480,194,311,758,351,235,383,289,127,690,198,271,453,959,339,235,251,131,284,137
SMAD113,131,198,93,18,76,68,49,110,200,99,275,364,67,78,83,100,68,79,92,112,52,59,30,79
FOX709,248,425,109,216,178,114,224,157,321,229,78,247,207,119,287,172,215,187,197,462,130,217,155,107
SOX564,66,6,15,25,30,28,54,19,8,23,31,178,47,11,30,24,41,32,20,21,35,27,23,32
KLF20,2279,1641,1801,2620,1784,877,1376,3468,1464,1089,615,757,410,4770,12310,1648,1032,600,1756,1394,1176,1481,1256,1449
GATA502,193,125,389,1492,363,364,274,45,179,262,189,109,468,214,136,222,175,429,192,353,213,576,181,433
NFAT166,909,2308,662,712,635,646,663,1077,255,873,602,262,1149,1261,762,1116,743,690,981,405,1043,859,906,1105
BCL781,75,54,100,109,64,100,54,26,109,99,108,53,92,66,136,49,53,39,130,113,85,56,41,113
CASP379,145,186,85,145,145,89,81,143,294,87,79,36,572,82,59,124,76,149,120,114,120,156,114,155
ZNF956,325,181,244,111,176,82,213,663,177,413,46,312,343,246,475,504,417,963,185,177,589,180,284,237
TMEM989,80,73,20,44,71,29,59,19,26,21,133,140,108,59,163,69,78,25,212,75,29,103,102,40
ABCB740,180,158,179,251,152,218,87,180,198,156,502,258,228,1046,162,259,283,382,179,164,137,190,151,130
SLC233,2724,3581,3669,1831,1922,4796,2991,2088,1922,2403,10161,2628,5228,261,937,1906,2233,2156,3301,2203,3605,3919,1922,1870
CYP302,500,161,300,197,397,155,418,1883,178,624,197,280,528,651,324,237,573,605,120,390,284,415,297,681
MAP837,390,170,374,155,249,481,583,276,139,641,602,173,271,187,452,407,376,931,2272,420,585,360,412,953
RPL98,74,69,22,20,19,14,40,38,21,22,70,49,45,12,10,8,31,23,21,42,39,31,12,58
RPS267,937,865,777,2620,1094,495,1297,144,2993,1403,1929,3423,2144,1628,1454,1103,1439,641,1163,1414,1083,1667,2042,868
GPR822,105,15,138,56,125,123,134,57,319,132,183,233,234,79,29,158,178,60,101,117,123,112,110,108
TNFR755,371,356,1069,497,625,568,538,1217,577,621,224,389,276,412,117,474,714,572,1050,401,747,538,678,315
CDK592,131,148,221,139,313,83,140,468,52,193,80,132,53,428,28,271,459,440,167,109,180,181,231,167
MMP835,31,147,73,33,81,206,47,22,95,51,55,11,40,19,166,56,61,38,31,109,61,37,37,60
COL991,204,305,133,50,129,374,104,247,87,142,304,215,283,58,230,141,75,73,21,186,217,141,45,229
ACTB68,485,955,328,535,286,389,1095,3622,213,767,774,799,624,538,373,682,485,1113,1218,572,423,751,275,627
MYO742,94,59,58,52,51,47,72,74,29,105,178,142,69,185,14,138,48,150,17,168,90,62,123,25
HSP793,194,197,233,236,87,140,265,69,140,163,224,351,350,536,193,230,248,122,142,244,130,470,171,131
CAT966,26,133,35,61,35,44,50,405,54,35,35,59,61,29,158,49,30,21,66,101,51,30,94,51
SOD492,3275,974,2134,2376,2476,4557,1938,3072,1548,2914,1491,2099,837,2296,3403,2178,2029,1300,1457,1674,2054,2758,1391,1776
NOS689,78,70,28,12,36,22,32,37,9,24,8,12,67,118,15,18,36,26,15,42,24,37,14,42
PTP144,736,1692,607,833,259,1283,578,797,425,789,1499,524,386,480,946,393,885,1540,1928,659,681,362,595,645
PDE543,341,453,167,275,169,294,278,52,270,264,147,73,175,274,251,183,299,309,296,110,150,217,117,522
ADRB645,38,22,24,51,30,11,63,56,36,31,25,16,10,130,31,38,57,31,84,35,61,40,53,33
HTR493,7,12,25,22,15,19,15,16,15,36,45,9,52,41,57,20,24,19,49,31,18,17,36,10
DRD214,490,733,653,315,726,497,310,776,283,613,766,684,887,124,537,568,743,203,1022,724,316,684,632,749
GRIN420,170,256,115,84,269,707,127,191,489,243,95,176,337,158,225,170,159,640,44,212,207,218,135,227
CACNA539,2466,2445,1849,1592,2784,4968,1197,913,661,1419,3135,2067,920,4714,827,1311,1816,1624,1195,2320,1272,1576,1199,1444
SCN935,523,720,566,333,845,2692,291,538,950,442,816,1846,817,560,720,492,440,334,963,787,568,480,352,441
KCNH867,2776,1634,1520,1047,1690,585,1348,4116,1551,1120,3166,1288,2220,2883,2247,1658,2726,2257,1382,1152,1308,773,1341,2392
ATP848,51,156,69,22,77,69,35,93,192,59,66,4,48,40,29,47,80,30,22,40,58,36,49,48
NDUF511,1021,2966,702,416,1347,421,1060,395,565,1180,74,389,1951,2559,854,938,1182,1760,1484,821,536,893,910,772
COX996,74,38,33,24,71,18,45,30,92,62,35,70,81,57,43,29,43,12,34,35,58,38,29,28
UQCR372,148,88,115,267,151,189,145,151,494,108,191,104,128,47,384,97,129,96,129,141,146,255,82,79
TUBB478,413,14994,452,6515,565,713,276,1336,13194,474,329,4091,324,283,4379,517,354,13879,358,485,456,375,243,386
RAB317,347,244,178,179,166,147,140,188,61,196,85,82,221,389,90,184,390,351,314,119,234,342,330,152
ARF133,579,109,138,357,319,354,474,968,700,286,612,1446,84,2770,533,269,559,2000,234,414,256,379,286,393
SEC563,2754,1170,1463,4612,3096,1000,2413,1679,5173,3114,688,1206,6401,645,7278,2331,3057,1316,826,1630,2712,2201,3234,3727
VPS613,592,411,435,581,390,259,350,285,1311,504,301,271,361,170,117,384,324,647,860,331,557,443,241,273
USP530,113,72,38,60,56,43,35,19,97,54,60,39,160,130,68,40,100,61,70,93,91,69,76,67
RNF691,1271,140,742,235,779,479,533,405,397,698,576,293,585,313,363,516,654,1349,437,507,597,743,614,906
DDX948,1626,1108,1618,3915,2663,1108,940,4481,1205,1626,1494,2031,691,2581,3999,2896,1078,2662,245,1051,751,1333,787,1031
EIF981,2213,2355,1526,526,872,918,2584,967,2666,2123,1848,1904,1422,6471,2363,2463,4222,1011,1910,954,2780,1970,2869,3400
PSMB919,81,98,46,33,67,166,68,42,43,96,33,103,7,52,168,66,122,38,32,46,77,57,112,78
PSMD91,324,1076,361,256,349,130,550,417,600,412,372,464,493,104,372,433,434,564,292,224,255,233,314,752
HLA565,1462,1951,832,1264,1181,377,1073,3374,1620,829,1623,838,2943,995,1025,999,1955,3019,3633,1092,1329,803,1042,2185
IFIT503,829,934,1286,346,2408,2107,1389,675,4081,2055,329,1109,2163,5021,3046,2278,1799,1494,5169,1507,2121,1335,2615,1580
OAS521,203,79,122,83,56,34,21,78,128,48,29,49,42,29,45,66,59,59,9,57,106,86,51,64
IRF658,681,1309,737,1372,741,420,593,1067,1056,827,499,733,613,808,228,520,861,1719,2085,537,409,538,841,689
STAT499,486,252,648,1103,503,642,592,592,1459,960,798,393,113,569,417,525,899,795,534,212,464,737,467,462
SMAD448,142,311,463,579,301,95,198,85,155,193,272,252,244,146,232,155,254,268,122,123,361,210,204,167
FOX190,624,564,582,1139,598,1131,447,1115,1545,672,607,1906,992,446,643,638,632,753,273,560,836,665,582,828
SOX363,2515,10468,2082,1579,2026,2326,2204,1604,7779,3416,1757,5350,1545,1591,4485,3712,2560,3261,12774,2209,3811,2392,1644,4662
KLF525,1331,1456,1359,552,2899,480,1586,1957,1333,827,691,1148,244,1822,601,1316,1302,1283,1068,371,1028,645,868,1566
GATA812,1855,1242,5348,4954,4542,1824,1590,18726,2919,1792,1488,867,7784,641,3653,1679,1935,1145,1905,3655,2736,1032,2335,2070
NFAT890,685,652,418,772,794,151,771,340,400,609,2226,456,1446,176,190,407,539,164,419,675,931,783,376,1237
BCL12,39,114,43,18,38,35,29,34,73,50,63,48,7,24,16,35,47,37,25,42,33,36,43,21
CASP894,345,706,407,1086,255,306,196,1481,1464,295,305,1136,871,272,87,386,438,265,275,561,326,394,552,270
ZNF66,40,43,35,14,45,83,33,40,101,22,67,39,20,27,38,34,52,21,56,59,89,62,42,44
TMEM813,26,49,25,53,32,9,29,6,27,26,11,4,37,18,26,35,28,15,26,24,33,19,20,20
ABCB237,29,59,21,22,22,9,39,85,24,24,11,81,39,28,553,55,22,188,17,24,36,54,36,48
SLC51,411,442,217,245,839,389,326,90,149,411,416,157,587,784,608,476,555,691,261,356,563,232,738,519
CYP454,110,36,47,39,48,34,56,41,20,28,109,39,34,43,15,43,33,23,62,40,32,47,49,51
MAP41,324,256,334,217,776,377,225,215,704,543,411,166,647,174,164,333,373,319,197,177,332,185,307,293
RPL548,62,33,28,19,52,32,33,21,20,43,33,59,32,29,133,56,43,28,26,38,51,37,50,32
RPS114,127,43,55,74,40,82,72,206,184,50,155,60,40,149,101,56,150,158,54,75,202,175,47,54
GPR293,284,379,233,383,311,603,267,45,55,221,98,668,1343,313,129,206,297,444,1659,253,223,357,254,245
TNFR903,139,28,192,499,89,132,75,248,214,181,63,397,76,97,242,110,130,39,317,133,78,181,63,93
CDK573,28,9,18,24,20,42,26,36,25,31,21,89,17,3,16,23,33,18,40,28,20,22,21,28
MMP994,548,804,749,402,383,281,985,238,441,672,398,454,295,371,554,743,546,121,850,705,625,614,466,408
COL761,2397,874,1538,2134,1820,1229,1035,602,3704,1337,1698,1344,1221,4003,1545,794,1425,3076,2069,1811,1174,1452,1371,2576
ACTB907,1052,1730,2752,19372,1039,1089,2972,4214,1571,2865,4098,5409,2292,1155,3339,2832,2507,2766,998,2922,2330,1331,2215,2700
MYO732,502,535,278,1631,582,172,276,278,2343,270,167,215,487,358,511,457,362,754,525,423,571,371,490,619
HSP320,792,694,439,791,382,234,364,144,287,635,399,508,1075,193,155,307,515,158,337,430,466,339,654,298
CAT289,734,92,462,307,595,623,396,238,496,540,216,903,1095,550,571,544,1233,300,418,333,418,516,315,256
SOD216,351,145,313,397,267,1338,102,450,271,188,251,161,192,73,355,501,269,56,59,275,193,246,391,176
NOS525,145,109,77,83,60,76,78,33,50,133,101,147,229,168,60,111,92,87,47,126,53,120,82,67
PTP816,2411,1340,3058,1640,5400,2445,2429,7705,5065,2822,2656,4464,4924,3707,1027,3457,3333,1816,820,1291,3421,1632,1814,1911
PDE917,2221,4472,2518,2502,3609,475,2720,8362,8092,3819,2481,2759,5873,3548,2627,3304,1992,1163,1557,1769,1507,3768,1808,2774
ADRB129,105,58,96,201,101,114,76,38,622,75,39,77,118,98,167,75,98,64,90,104,92,107,68,100
HTR125,6109,3777,1207,1752,3137,1998,2714,7147,2345,1664,3638,6159,3428,5745,297,4957,2639,1017,7085,2698,2588,6031,3127,1927
DRD653,415,426,325,342,403,112,202,333,171,278,299,104,118,129,681,334,319,214,1022,333,102,228,267,327
GRIN976,368,76,717,403,694,102,302,350,1098,409,856,196,488,385,675,429,452,402,213,453,423,356,261,263
CACNA619,443,2900,3016,2251,590,336,2876,387,2358,470,821,1790,852,303,2693,482,568,1239,966,504,3467,4084,2442,2964
SCN668,454,1026,467,2638,334,1212,821,298,171,816,229,864,1180,303,366,519,760,1168,728,654,579,284,854,605
KCNH347,410,282,615,915,547,1080,433,1589,486,597,721,296,377,688,1096,683,561,677,92,381,502,1016,527,353
ATP70,74,44,68,58,71,60,47,76,85,86,123,136,112,79,225,65,44,103,48,71,55,70,50,73
NDUF619,639,760,132,332,375,318,160,711,579,264,261,156,724,505,890,241,330,2091,926,252,330,568,230,358
COX515,28,56,16,156,36,5,13,51,10,16,29,9,18,11,40,57,24,7,39,31,37,26,12,20
UQCR832,31,102,26,82,90,7,90,30,256,58,107,23,69,22,37,42,35,20,13,34,57,77,65,79
TUBB296,680,463,420,725,623,925,999,541,505,806,244,675,224,124,447,811,822,496,274,905,741,665,1046,523
RAB640,712,458,896,790,363,120,500,269,1228,436,351,92,367,643,156,608,548,388,261,326,505,539,889,313
ARF409,21,55,21,24,47,32,14,29,4,40,17,32,6,8,12,31,18,14,32,12,20,35,17,12
SEC94,265,825,148,119,134,144,206,570,251,249,154,164,43,61,285,283,131,112,35,182,65,181,231,151
VPS247,2283,3687,2584,7648,2911,3133,3486,3074,1395,2637,2661,1141,8707,2736,3206,2838,1948,2577,1688,3886,3869,2296,2544,2125
USP564,155,280,200,411,234,296,158,253,167,201,299,199,564,94,121,222,160,64,200,85,239,164,243,168
RNF637,1267,1167,1543,413,1224,358,843,1640,3719,947,2550,553,6169,2015,1577,1777,649,601,858,973,2171,1352,1140,617
DDX563,4149,2788,1388,1264,1434,4041,1133,1084,3786,1597,579,541,2219,923,2351,1335,2861,3956,3231,1790,1524,1359,2084,2624
EIF626,319,462,352,138,355,99,224,518,87,298,221,102,286,149,544,412,145,270,191,182,188,229,306,320
PSMB19,537,962,524,819,1168,746,403,569,190,535,569,2772,76,644,183,582,829,316,485,394,620,634,557,270
PSMD766,1514,4800,2778,14009,1492,1211,749,2505,9845,2589,716,1466,1346,1500,1810,1430,3135,1653,1279,1849,2242,2586,581,1616
HLA199,122,17,54,431,35,300,54,74,84,55,75,53,29,33,22,92,109,63,109,113,174,47,53,42
IFIT229,130,153,84,91,115,117,57,69,294,89,67,102,579,209,310,73,158,65,20,71,137,105,148,83
OAS490,12,9,16,35,24,17,16,12,47,21,13,47,16,12,48,29,24,15,35,20,27,32,21,26
IRF544,2512,3766,2296,8502,1993,1062,1882,7682,2304,2329,1772,1969,3328,7031,5683,1793,4063,6265,41702,2439,3865,3219,2144,2398
STAT994,138,258,203,1573,226,410,138,450,183,165,726,178,237,364,279,284,179,323,82,255,162,259,216,235
SMAD315,245,211,536,683,529,522,271,371,156,362,521,37,837,132,738,384,508,1271,206,276,173,1086,264,189
FOX194,345,176,394,208,869,1017,301,886,2203,579,218,264,172,121,966,258,361,167,288,416,428,413,411,205
SOX759,247,210,219,430,146,58,114,527,135,259,229,247,250,266,667,188,268,460,459,247,277,174,135,120
KLF991,2541,966,1357,1685,2293,2660,1852,3156,3205,2134,1740,442,3450,3300,250,2839,2746,2627,4376,1760,1991,1251,2542,3926
GATA54,59,50,85,25,106,66,56,41,48,152,65,117,81,17,8,88,85,48,179,59,112,77,42,137
NFAT613,77,140,79,317,96,135,90,160,65,93,78,138,46,75,128,169,111,240,119,85,120,86,86,97
BCL361,375,165,151,287,156,177,253,359,310,230,263,225,629,397,453,98,371,312,395,243,148,239,162,223
CASP900,285,263,483,106,265,99,225,245,448,221,73,194,352,144,1509,272,248,565,310,377,312,422,169,492
ZNF476,1208,988,2087,3050,1433,2613,1580,2047,2793,2214,1626,4354,842,6857,3897,2918,3180,3150,5649,1815,2133,2498,2431,1908
TMEM689,1227,1058,1113,733,1430,2507,1658,1475,1267,1117,1724,785,498,923,1373,978,782,1692,621,1123,1321,850,1378,998
ABCB36,1083,495,569,3166,706,707,590,2079,1599,998,644,252,249,654,2180,957,1713,4384,1587,798,883,358,939,994
SLC741,87,41,23,46,41,13,35,35,84,32,29,140,39,18,135,82,31,29,10,37,16,23,24,69
CYP542,257,147,418,266,222,157,209,238,1305,186,404,441,196,834,63,203,229,232,420,286,212,244,464,301
MAP254,213,753,204,114,449,447,166,511,306,241,310,227,176,157,258,187,455,491,463,226,206,227,186,192
RPL351,51,102,43,88,58,46,48,123,148,40,31,75,81,38,31,51,36,44,98,43,32,56,49,33
RPS718,84,85,94,275,84,32,109,180,124,53,37,41,86,131,440,54,186,310,38,96,86,46,164,89
GPR722,104,89,51,38,122,45,83,89,112,46,38,51,98,109,266,42,97,42,60,111,85,141,44,96
TNFR622,205,200,344,214,181,117,194,212,84,113,84,559,220,363,259,258,182,322,157,327,205,362,265,185
CDK648,1658,4646,1153,1864,1271,3751,4237,711,7674,2796,2411,5599,2079,6097,3511,1806,2237,4150,1239,2863,1773,1951,1825,1347
MMP499,2085,4133,1172,988,2093,487,1678,357,1647,974,1268,5655,1309,4023,3360,771,1420,2021,1197,852,1709,1655,1185,1228
COL172,67,33,53,50,74,22,56,26,156,42,91,22,81,26,18,57,41,185,27,47,76,42,24,58
ACTB389,136,43,96,121,60,86,54,88,61,76,91,324,81,51,78,191,49,82,63,63,71,75,67,69
MYO567,70,10,40,34,31,32,24,30,32,45,16,42,32,32,18,26,29,63,67,45,54,52,38,41
HSP539,1843,2071,646,923,3201,3744,2096,1808,2857,2515,2674,1123,1120,1287,1788,1922,1832,1564,2174,2514,2771,2443,1326,2424
CAT343,773,588,326,355,237,573,273,336,412,199,238,126,558,62,145,574,194,191,110,292,336,629,462,303
SOD276,634,1082,1015,498,424,807,941,3863,2040,1058,699,1309,714,983,624,868,1169,1512,1096,703,936,895,973,1150
NOS443,899,1411,1390,569,953,1384,867,724,1616,1449,873,2363,3190,4246,6456,1298,1542,816,1515,1176,1997,569,1865,1808
PTP512,968,1199,1217,535,934,913,1178,1968,4593,1045,725,403,1281,11147,778,2242,2059,1232,1562,1212,1922,959,2109,1888
PDE106,555,475,435,635,525,236,221,1030,554,291,311,408,343,191,408,343,653,819,826,659,468,567,423,477
ADRB568,37,35,62,40,89,251,72,144,27,178,101,154,46,51,88,54,54,216,57,141,94,125,91,103
HTR326,58,25,31,38,17,38,19,57,22,19,15,9,26,11,80,52,51,17,124,15,24,33,18,32
DRD826,3417,1157,1371,5681,2534,4943,1945,1496,1344,4114,844,1957,1255,2723,10082,4214,5663,3906,2247,5431,2727,2178,1878,2595
GRIN239,906,248,795,783,456,1487,1130,2746,1607,557,261,495,1813,670,513,607,437,526,380,966,1249,508,496,656
CACNA242,1755,619,1372,350,2717,1485,1070,1359,803,2233,861,2161,2141,790,488,3814,2633,3164,1738,1764,1526,1649,1434,1843
SCN271,205,173,88,179,249,78,171,234,102,264,79,93,364,700,71,271,154,236,53,151,463,266,133,236
KCNH734,3604,1712,1761,2572,2616,726,1243,6980,2941,1314,2558,548,855,1857,1817,3127,2804,2553,551,1364,1476,1475,1112,1430
ATP635,254,438,184,414,382,340,132,144,575,148,851,250,126,262,351,304,260,159,175,285,267,829,77,170
COX606,220,249,139,163,138,65,103,165,180,64,185,87,203,104,90,143,165,74,83,80,34,79,117,246
UQCR19,3753,916,4368,3444,1678,7463,1227,6779,1479,1465,4373,2453,7092,1814,1378,2728,3650,2548,1395,1917,3114,2422,2904,2970
TUBB367,1894,2293,3586,1916,5088,4567,2736,3163,5813,2094,4230,1633,3652,13901,3004,2158,2477,2325,4312,3830,2722,2302,3407,3753
RAB922,1618,2322,1975,998,1829,1187,1494,2201,799,1446,2245,2174,761,1697,3999,1579,1800,2970,2104,1080,1170,1627,2020,1618
ARF261,661,1001,587,1006,681,2902,1172,4858,736,1366,646,602,1344,716,674,2219,1105,2310,1070,1784,1455,1125,646,1153
SEC246,32,75,94,13,59,134,42,38,110,40,13,56,55,47,33,54,51,58,191,90,63,39,62,51
VPS749,144,72,80,166,86,120,62,321,55,64,52,34,168,119,115,92,86,210,55,56,93,185,67,82
USP501,2036,9334,2740,3089,2265,728,1708,2613,1568,953,634,712,2510,834,1519,825,998,937,452,1571,1939,938,1646,3214
RNF79,253,230,309,200,278,85,148,553,1246,229,313,269,213,238,1497,231,211,132,754,211,235,289,127,187
DDX140,54,87,42,36,52,13,100,80,59,32,44,9,91,77,128,51,93,119,121,32,24,33,37,21
EIF625,73,62,39,66,49,74,50,22,114,99,41,54,224,66,16,88,62,25,112,48,53,117,70,55
PSMB419,42,48,13,19,39,7,24,53,8,57,37,16,15,36,22,45,37,17,140,40,18,45,43,38
PSMD190,26,5,31,38,18,34,22,10,15,26,6,11,44,12,21,26,56,12,19,34,7,30,20,57
HLA227,38,11,13,36,21,16,26,53,14,45,15,11,84,7,31,16,25,11,32,12,46,22,22,38
IFIT647,32,12,31,61,62,20,70,81,47,56,18,60,43,31,93,51,35,146,17,33,44,57,37,67
OAS116,159,252,227,349,203,254,185,662,399,223,461,231,361,212,1076,209,144,124,207,215,223,441,182,196
IRF837,91,34,74,49,127,78,65,100,103,102,83,48,122,47,51,85,68,52,20,60,54,70,101,101
STAT927,96,460,69,85,80,49,18,132,34,64,68,414,61,167,121,96,42,44,34,117,69,61,62,154
SMAD601,56,18,33,39,36,32,33,63,117,73,35,5,27,34,75,67,42,95,11,39,52,36,34,51
FOX838,158,393,1372,2866,316,466,614,297,756,334,134,641,666,97,1247,374,296,1218,1747,416,1455,1389,1101,816
SOX875,2196,292,1193,6238,4075,200,1163,2154,1818,2793,16316,585,3293,875,1214,1689,2971,3613,1049,1373,1045,1943,682,1975
KLF515,41,17,13,24,42,14,39,12,188,32,5,37,32,87,36,28,12,30,8,37,28,32,11,35
GATA695,253,172,191,320,281,195,215,528,140,286,803,166,258,1301,451,485,314,663,633,163,1001,188,379,313
NFAT267,44,10,81,14,39,8,28,86,10,68,59,108,17,29,89,71,38,32,33,24,24,66,25,39
BCL587,106,27,35,24,71,47,43,141,16,44,109,25,125,60,62,59,61,37,66,48,82,31,35,50
CASP769,92,77,123,52,32,50,31,83,48,80,22,25,13,65,11,168,42,22,231,22,32,65,55,42
ZNF132,23,10,37,9,29,43,23,16,25,70,14,20,9,19,51,22,32,8,49,28,31,46,29,29
TMEM545,375,272,132,380,204,122,92,320,134,283,283,96,93,212,70,133,230,121,676,246,169,264,114,229
ABCB756,441,400,600,175,336,814,612,509,1311,799,222,854,832,383,478,682,433,384,143,444,693,297,311,708
SLC665,488,526,472,434,625,587,665,797,939,663,235,738,853,1596,450,597,738,520,754,586,499,692,254,519
CYP794,292,501,122,70,304,231,132,194,129,282,200,575,181,439,1335,201,244,146,251,203,308,258,143,199
MAP86,1746,855,1357,1583,1091,518,2047,1020,1167,1147,1335,743,1684,1351,620,945,1838,531,964,1312,971,1132,1535,2068
RPL380,1566,909,1323,466,1467,7127,1242,1099,966,1034,844,1035,6953,1676,525,1492,1045,2880,1785,1517,1378,1921,1565,1979
RPS805,89,77,75,64,92,60,82,498,48,173,70,42,53,86,80,301,174,102,117,88,181,120,112,167
GPR79,1105,3795,2093,4478,1902,1457,4320,1397,1772,2891,2278,435,1519,571,2879,2472,1496,4091,6042,1504,2638,1738,1470,2960
TNFR833,2112,4455,1668,2100,2662,1391,1066,5107,2365,3066,953,2142,2756,510,4502,3448,2326,2504,535,3324,2119,1958,2286,6063
