compound_id,assay,replicate,ic50_nm,qc_flag
C008,offtarget_ic50_nm,3,181.904,pass
C009,target_ic50_nm,1,32.984,pass
C009,target_ic50_nm,2,37.667,pass
C009,target_ic50_nm,3,31.922,pass
C009,offtarget_ic50_nm,1,50.884,pass
C009,offtarget_ic50_nm,2,46.09,pass
C009,offtarget_ic50_nm,3,50.311,pass
C010,target_ic50_nm,1,23.319,pass
C010,target_ic50_nm,2,28.082,pass
C010,target_ic50_nm,3,24.162,pass
C010,offtarget_ic50_nm,1,23.596,pass
C010,offtarget_ic50_nm,2,19.676,pass
C010,offtarget_ic50_nm,3,21.318,pass
C011,target_ic50_nm,1,6.068,pass
C011,target_ic50_nm,2,4.817,pass
C011,target_ic50_nm,3,6.108,pass
C011,offtarget_ic50_nm,1,3.682,pass
C011,offtarget_ic50_nm,2,3.02,pass
C011,offtarget_ic50_nm,3,3.422,pass
C012,target_ic50_nm,1,103.094,pass
C012,target_ic50_nm,2,1013.222,fail
C012,target_ic50_nm,3,97.684,pass
C012,offtarget_ic50_nm,1,76.646,pass
C012,offtarget_ic50_nm,2,74.544,pass
C012,offtarget_ic50_nm,3,63.479,pass
C013,target_ic50_nm,1,41.298,pass
C013,target_ic50_nm,2,38.962,pass
C013,target_ic50_nm,3,32.338,pass
C013,offtarget_ic50_nm,1,110.565,pass
C013,offtarget_ic50_nm,2,129.828,pass
C013,offtarget_ic50_nm,3,93.999,pass
C014,target_ic50_nm,1,2985.66,fail
C014,target_ic50_nm,2,259.05,pass
C014,target_ic50_nm,3,226.559,pass
C014,offtarget_ic50_nm,1,155.888,pass
C014,offtarget_ic50_nm,2,155.923,pass
C014,offtarget_ic50_nm,3,206.857,pass
C015,target_ic50_nm,1,272.345,pass
C015,target_ic50_nm,2,257.959,pass
C015,target_ic50_nm,3,271.763,pass
C015,offtarget_ic50_nm,1,102.388,pass
C015,offtarget_ic50_nm,2,81.772,pass
C015,offtarget_ic50_nm,3,104.28,pass
C016,target_ic50_nm,1,274.013,pass
C016,target_ic50_nm,2,244.04,pass
C016,target_ic50_nm,3,32.694,fail
C016,offtarget_ic50_nm,1,152.537,pass
C016,offtarget_ic50_nm,2,146.682,pass
C016,offtarget_ic50_nm,3,146.056,pass
C017,target_ic50_nm,1,74.047,pass
C017,target_ic50_nm,2,69.562,pass
C017,target_ic50_nm,3,54.358,pass
C017,offtarget_ic50_nm,1,47.656,pass
C017,offtarget_ic50_nm,2,51.854,pass
C017,offtarget_ic50_nm,3,67.4,pass
C018,target_ic50_nm,1,106.337,pass
C018,target_ic50_nm,2,121.661,pass
C018,target_ic50_nm,3,105.888,pass
C018,offtarget_ic50_nm,1,71.421,pass
C018,offtarget_ic50_nm,2,63.053,pass
C018,offtarget_ic50_nm,3,68.958,pass
C019,target_ic50_nm,1,1567.188,pass
C019,target_ic50_nm,2,1498.097,pass
C019,target_ic50_nm,3,1520.875,pass
C019,offtarget_ic50_nm,1,102.175,pass
C019,offtarget_ic50_nm,2,100.242,pass
C019,offtarget_ic50_nm,3,86.888,pass
C020,target_ic50_nm,1,10.289,pass
C020,target_ic50_nm,2,12.452,pass
C020,target_ic50_nm,3,15.998,pass
C020,offtarget_ic50_nm,1,29.471,pass
C020,offtarget_ic50_nm,2,30.411,pass
C020,offtarget_ic50_nm,3,30.319,pass
C021,target_ic50_nm,1,5.605,pass
C021,target_ic50_nm,2,5.271,pass
C021,target_ic50_nm,3,4.975,pass
C021,offtarget_ic50_nm,1,1.684,fail
C021,offtarget_ic50_nm,2,12.572,pass
C021,offtarget_ic50_nm,3,15.799,pass
C022,target_ic50_nm,1,2.227,pass
C022,target_ic50_nm,2,31.085,fail
C022,target_ic50_nm,3,3.064,pass
C022,offtarget_ic50_nm,1,1.735,pass
C022,offtarget_ic50_nm,2,2.231,pass
C022,offtarget_ic50_nm,3,1.794,pass
C023,target_ic50_nm,1,3.073,pass
C023,target_ic50_nm,2,3.407,pass
C023,target_ic50_nm,3,3.474,pass
C023,offtarget_ic50_nm,1,78.366,pass
C023,offtarget_ic50_nm,2,52.118,pass
C023,offtarget_ic50_nm,3,82.558,pass
C024,target_ic50_nm,1,85.721,pass
C024,target_ic50_nm,2,81.643,pass
C024,target_ic50_nm,3,108.78,pass
C024,offtarget_ic50_nm,1,27.021,pass
C024,offtarget_ic50_nm,2,26.769,pass
C024,offtarget_ic50_nm,3,34.313,pass
C101,target_ic50_nm,1,2.02,pass
C101,target_ic50_nm,2,2.19,pass
C101,target_ic50_nm,3,2.32,pass
C101,offtarget_ic50_nm,1,5.932,pass
C101,offtarget_ic50_nm,2,6.525,pass
C101,offtarget_ic50_nm,3,8.056,pass
C102,target_ic50_nm,1,42.464,pass
C102,target_ic50_nm,2,40.821,pass
C102,target_ic50_nm,3,35.391,pass
C102,offtarget_ic50_nm,1,397.044,pass
C102,offtarget_ic50_nm,2,367.953,pass
C102,offtarget_ic50_nm,3,383.759,pass
C103,target_ic50_nm,1,29.248,pass
C103,target_ic50_nm,2,26.029,pass
C103,target_ic50_nm,3,38.632,pass
C103,offtarget_ic50_nm,1,2821.702,pass
C103,offtarget_ic50_nm,2,2753.199,pass
C103,offtarget_ic50_nm,3,2472.221,pass
C104,target_ic50_nm,1,5.485,pass
C104,target_ic50_nm,2,3.763,pass
C104,target_ic50_nm,3,3.458,pass
C104,offtarget_ic50_nm,1,104.578,pass
C104,offtarget_ic50_nm,2,89.684,pass
C104,offtarget_ic50_nm,3,86.296,pass
C105,target_ic50_nm,1,3.51,pass
C105,target_ic50_nm,2,3.423,pass
C105,target_ic50_nm,3,3.102,pass
C105,offtarget_ic50_nm,1,198.715,pass
C105,offtarget_ic50_nm,2,244.581,pass
C105,offtarget_ic50_nm,3,321.963,pass
C106,target_ic50_nm,1,9.713,pass
C106,target_ic50_nm,2,8.433,pass
C106,target_ic50_nm,3,8.413,pass
C106,offtarget_ic50_nm,1,2.681,pass
C106,offtarget_ic50_nm,2,3.11,pass
C106,offtarget_ic50_nm,3,2.716,pass
